Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,4




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,3,3,12.959284960441243,1363700.0,13637.0,0.0,0.0,0
1,3,3,12.598065597005053,1363629.75,13637.0,0.0,0.0,3
2,3,3,12.503568738145288,1363768.5,13637.0,0.0,0.0,4
3,3,3,12.511907571133007,1363779.5,13637.0,0.0,0.0,4
4,3,3,12.5875463101357,1363627.5,13637.0,0.0,0.0,3
5,3,3,12.545505677940422,1363777.0,13637.0,0.0,0.0,4
6,3,3,12.679426763017023,1363901.25,13637.0,0.0,0.0,3
7,3,3,12.679166366781988,1363899.25,13637.0,0.0,0.0,3
8,3,3,12.6755621276902,1364006.0,13637.0,0.0,0.0,3
9,3,3,12.588011342293845,1363890.5,13637.0,0.0,0.0,3
10,3,3,12.709076052976918,1364008.5,13637.0,0.0,0.0,3
11,3,3,12.736399933191436,1364074.25,13637.0,0.0,0.0,3
12,3,3,12.583287462327018,1363891.0,13637.0,0.0,0.0,3
13,3,3,12.545222619377409,1363769.0,13637.0,0.0,0.0,4
14,3,3,12.721665635383115,1364019.5,13637.0,0.0,0.0,4
15,3,3,12.955829713917728,1364126.0,13637.0,0.0,0.0,3
16,3,3,12.724999382622812,1364020.25,13637.0,0.0,0.0,4
17,3,3,12.59839043417062,1363629.5,13637.0,0.0,0.0,3
18,2,2,11.488631000000007,1364128.75,13637.0,0.0,0.0,3
19,2,2,11.496511334289556,1363756.5,13637.0,0.0,0.0,3
