Origin node,Message count,Uniform Packet loss chance in %,Transmition per relay
0,13637,10,3




Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets recived,Packets lost,Packet loss %,Peak Buffer size
0,3,3,12.958724237346024,1022775.0,13637.0,0.0,0.0,0
1,3,3,12.583390944913326,1022732.25,13637.0,0.0,0.0,4
2,3,3,12.482556459474335,1022872.5,13637.0,0.0,0.0,4
3,3,3,12.50677018935436,1022883.75,13637.0,0.0,0.0,5
4,3,3,12.581810269650225,1022729.0,13637.0,0.0,0.0,4
5,3,3,12.546240575742907,1022882.75,13637.0,0.0,0.0,4
6,3,3,12.6790615874135,1023004.75,13637.0,0.0,0.0,4
7,3,3,12.658911228304587,1023006.75,13637.0,0.0,0.0,4
8,3,3,12.679733486088985,1023118.75,13637.0,0.0,0.0,4
9,3,3,12.573322871242064,1022998.75,13637.0,0.0,0.0,5
10,3,3,12.705831512642776,1023114.25,13637.0,0.0,0.0,4
11,3,3,12.733371723836001,1023182.5,13637.0,0.0,0.0,4
12,3,3,12.574114765735395,1023001.5,13637.0,0.0,0.0,4
13,3,3,12.530385846038644,1022872.75,13637.0,0.0,0.0,4
14,3,3,12.712954438581967,1023128.25,13637.0,0.0,0.0,4
15,3,3,12.962252397344017,1023241.25,13637.0,0.0,0.0,4
16,3,3,12.719991516546145,1023132.25,13637.0,0.0,0.0,4
17,3,3,12.583976831217237,1022728.0,13637.0,0.0,0.0,4
18,2,2,11.491968,1023243.5,13636.96,0.040000000000873115,0.000293319645089632,4
19,2,2,11.496333125000003,1022863.0,13636.96,0.040000000000873115,0.000293319645089632,4
